sno,text,label,,,,,,,,,,,,,,,,
1,Someone who can't rise high in life always looks high.,1,,,,,,,,,,,,,,,,YES
2,"If you are a model you have to fit the size,otherwise its not interesting.With these measures everyone can be a model.",1,,,,,,,,,,,,,,,,
3,Policemen always bark.,1,,,,,,,,,,,,,,,,
4,Size and appearance don't matter what matter is how much loyal a slave is to a master.,1,,,,,,,,,,,,,,,,
5,Never worry about washing out pimples from your photo with all the new air brush app.,1,,,,,,,,,,,,,,,,
6,Make up not only enhance the beauty of beautiful people even it adds beauty to the ugly one.,1,,,,,,,,,,,,,,,,
7,Its obvious that a cabin in office is a personal space but employees should not access things out of  decorum.,1,,,,,,,,,,,,,,,,
8," The political symbol of the Tejas Party is a Knife,which they say is a symbol to stop combat criminals but it conveys a different meaning.",1,,,,,,,,,,,,,,,,
9,"Rome wasn't built in a day right,but a group against  the country was even not built in a day.",1,,,,,,,,,,,,,,,,
10,Its better not to give birth to a baby girl than to see her suffering in this cruel world,0,,,,,,,,,,,,,,,,
11,"Children may be naughty but are always innocent ,people should  understand them with love and patience.",0,,,,,,,,,,,,,,,,
12,Get fit from fat .Use the new sauna slim belt for just worth $400.,1,,,,,,,,,,,,,,,,
13,The number of hands that were raised  to support the criminals if they would have raised for the good the scenario would be a little different today.,1,,,,,,,,,,,,,,,,
14,Everyone knows how to pose but a pose with flat belly is interesting.,1,,,,,,,,,,,,,,,,
15,"Want to lose weight,now its easy .Try these bevarages for 15 days.",1,,,,,,,,,,,,,,,,
16,you look like this.,1,,,,,,,,,,,,,,,,
17,"when you're angry, you look like this.",1,,,,,,,,,,,,,,,,
18,I saw this in the zoo yesterday.,0,,,,,,,,,,,,,,,,
19,wear this and sit at home.,1,,,,,,,,,,,,,,,,
20,this is a gift for a coward like you.,1,,,,,,,,,,,,,,,,
21,I think these bangles will look good with that dress.,0,,,,,,,,,,,,,,,,
22,you look like this.,1,,,,,,,,,,,,,,,,
23,stay aware from this animal. Its nimpah virus alert message.,0,,,,,,,,,,,,,,,,
24,toppers like you make life miserable for us.,1,,,,,,,,,,,,,,,,
25,"when you study, you look like this.",1,,,,,,,,,,,,,,,,
26,"you're so bright, can you help me with the research paper?",0,,,,,,,,,,,,,,,,
27,this is how you look in specs.,1,,,,,,,,,,,,,,,,
28,the process of eye-test is quite easy.,0,,,,,,,,,,,,,,,,
29,"you're so tall, you remind me of this.",1,,,,,,,,,,,,,,,,
30,stop eating fatty,1,,,,,,,,,,,,,,,,
31,this is your angry face,1,,,,,,,,,,,,,,,,
32,"when you'll grow up, you will look like this.",1,,,,,,,,,,,,,,,,
33,you never say no to food,1,,,,,,,,,,,,,,,,
34,I want to eat burger,0,,,,,,,,,,,,,,,,
35,I saw this in the zoo yesterday.,0,,,,,,,,,,,,,,,,
36,this is how you look when you're angry.,1,,,,,,,,,,,,,,,,
37,I am marrying soon,0,,,,,,,,,,,,,,,,
38,You're so fat the only letters of the alphabet you know are KFC.,1,,,,,,,,,,,,,,,,
39,are black people in canada;called canadian african-americans?,1,,,,,,,,,,,,,,,,
40,whats the deal with black people they re not black and they re not people.,1,,,,,,,,,,,,,,,,
41,Do you have any stalkers? Hell yes . I have one.,1,,,,,,,,,,,,,,,,
42,Mrs. Bean can be a great model. She has a great figure.,1,,,,,,,,,,,,,,,,
43,Mr . Patel has the potential to become a great fighter. Have you seen his biceps?,1,,,,,,,,,,,,,,,,
44,I am in love with you. Will you be my betterhalf .I fell in love with your beauty at first sight.,1,,,,,,,,,,,,,,,,
45,She is the prettiest person I know!,1,,,,,,,,,,,,,,,,
46,Raise voice against child abuse or one day it will destroy the nation.,0,,,,,,,,,,,,,,,,
47,We are living in the twenty first century but still woman are not given equal treatment as man.,0,,,,,,,,,,,,,,,,
48,The son of Mr. Quarsahi resembles more like a cute creature than Mr. and Mrs. Quarashi.,1,,,,,,,,,,,,,,,,
49, Everything that is beautiful is not all worthful.,1,,,,,,,,,,,,,,,,
50,In todays India something that should of prime importance is equality of men and women.,0,,,,,,,,,,,,,,,,
51,Mr. baker resembles this.,1,,,,,,,,,,,,,,,,
52,You shine like  this,1,,,,,,,,,,,,,,,,
53,Everyone with a dark complexion resembles this.,1,,,,,,,,,,,,,,,,
54,You can be a great model some day with this zero figure.,1,,,,,,,,,,,,,,,,
55,Great biceps!,1,,,,,,,,,,,,,,,,
56,Idiots always look up.,1,,,,,,,,,,,,,,,,
57,What are you looking up?,0,,,,,,,,,,,,,,,,
58,The coal has a great shine in it.,0,,,,,,,,,,,,,,,,
59,Exercise more and eat less to be a good model someday.,0,,,,,,,,,,,,,,,,
60,Can you give me some make up tips to look beautiful though being ugly.,1,,,,,,,,,,,,,,,,
61,Every beautiful thing is meant to be ugly inside.,1,,,,,,,,,,,,,,,,
62,Walking on a ramp does'nt make you a model.,1,,,,,,,,,,,,,,,,
63,You look like a  model.,1,,,,,,,,,,,,,,,,
64,What a figure!,1,,,,,,,,,,,,,,,,
65,Camera did a great work.,1,,,,,,,,,,,,,,,,
66,You are beautiful!,0,,,,,,,,,,,,,,,,
67,Mr. Achint's son as beautiful as this .,1,,,,,,,,,,,,,,,,
68,Ornament suits you.,1,,,,,,,,,,,,,,,,
69,Wear these ornaments and sit like a woman.,1,,,,,,,,,,,,,,,,
70,Ornament makes a woman beautiful.,0,,,,,,,,,,,,,,,,
71,Great work done by the editing app.,1,,,,,,,,,,,,,,,,
72,Dog is a great pet.,0,,,,,,,,,,,,,,,,
73,Its an ugly creature.,1,,,,,,,,,,,,,,,,
74,Earning and self dependent woman never focuses on just dressing.,1,,,,,,,,,,,,,,,,
75,Good look  is not enough become capable.,1,,,,,,,,,,,,,,,,
76,You look gorgeous.,0,,,,,,,,,,,,,,,,
77,Be the man of kindness not the man of just riches.,1,,,,,,,,,,,,,,,,
78,Every successful man does'nt need to be rich.,1,,,,,,,,,,,,,,,,
79,You have a great car.,0,,,,,,,,,,,,,,,,
80,What a great painting it is!,0,,,,,,,,,,,,,,,,
81,Paintings are just a waste of time.,1,,,,,,,,,,,,,,,,
82,These are just waste of colours.,1,,,,,,,,,,,,,,,,
83,Albert was a  man of good humor and knowledge.,0,,,,,,,,,,,,,,,,
84,Short dresses don't make you beautiful.,1,,,,,,,,,,,,,,,,
85,You wear nice dresses.,1,,,,,,,,,,,,,,,,
86,Is your dress torn from one side?,1,,,,,,,,,,,,,,,,
87,This dress is close to a model's dress.,0,,,,,,,,,,,,,,,,
88,This is the sign of weakness.,1,,,,,,,,,,,,,,,,
89,These are heavy to make girls less moving.,1,,,,,,,,,,,,,,,,
90,These are just beautiful bangles.,0,,,,,,,,,,,,,,,,
91,Stop influencing people.,1,,,,,,,,,,,,,,,,
